Workout_ID,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required_x,Target Gender,Exercise,Sets,Reps,Target Muscle Group,Exercise Type,Equipment Required_y,Mechanics,Force Type,Experience Level,Secondary Muscles,Exercise Type ID,Larger Body Parts
151,0,0,1,1,3,2.0,1,0,4,1.0,1.0,4,0,1,1,1.0,1.0,81,14,3.0
151,0,0,1,1,3,2.0,1,0,44,1.0,9.0,3,0,2,1,2.0,1.0,11,88,2.0
151,0,0,1,1,3,2.0,1,0,15,0.0,10.0,7,0,4,1,6.0,1.0,12,72,4.0
152,0,0,0,1,3,2.0,2,0,45,4.0,4.0,0,0,2,0,1.0,1.0,16,123,5.0
152,0,0,0,1,3,2.0,2,0,46,1.0,3.0,6,0,3,1,3.0,1.0,81,5,5.0
152,0,0,0,1,3,2.0,2,0,47,2.0,11.0,10,0,3,1,1.0,1.0,81,8,5.0
152,0,0,0,1,3,2.0,2,0,24,4.0,4.0,2,0,2,0,2.0,1.0,2,23,2.0
152,0,0,0,1,3,2.0,2,0,48,1.0,3.0,9,0,5,0,2.0,1.0,9,12,2.0
152,0,0,0,1,3,2.0,2,0,17,4.0,4.0,1,0,2,0,1.0,1.0,1,3,1.0
152,0,0,0,1,3,2.0,2,0,40,1.0,3.0,8,0,2,1,3.0,1.0,81,16,1.0
152,0,0,0,1,3,2.0,2,0,49,4.0,4.0,6,0,2,0,3.0,1.0,17,2,5.0
152,0,0,0,1,3,2.0,2,0,32,1.0,3.0,0,0,3,1,1.0,1.0,81,73,5.0
152,0,0,0,1,3,2.0,2,0,50,1.0,3.0,2,0,5,0,3.0,1.0,18,22,2.0
152,0,0,0,1,3,2.0,2,0,25,4.0,4.0,8,0,2,0,1.0,1.0,8,7,1.0
152,0,0,0,1,3,2.0,2,0,51,1.0,3.0,1,0,2,0,1.0,1.0,1,3,1.0
152,0,0,0,1,3,2.0,2,0,52,1.0,4.0,4,0,0,1,0.0,0.0,81,14,3.0
152,0,0,0,1,3,2.0,2,0,27,1.0,4.0,5,0,2,1,3.0,1.0,81,6,3.0
152,0,0,0,1,3,2.0,2,0,42,4.0,4.0,0,0,3,0,1.0,1.0,16,10,5.0
152,0,0,0,1,3,2.0,2,0,53,1.0,12.0,0,0,4,0,0.0,1.0,14,36,5.0
152,0,0,0,1,3,2.0,2,0,47,2.0,11.0,10,0,3,1,1.0,1.0,81,8,5.0
152,0,0,0,1,3,2.0,2,0,54,4.0,4.0,2,0,3,0,3.0,1.0,18,53,2.0
152,0,0,0,1,3,2.0,2,0,55,1.0,3.0,8,0,5,0,2.0,1.0,19,106,1.0
152,0,0,0,1,3,2.0,2,0,56,1.0,3.0,1,0,4,0,1.0,1.0,10,9,1.0
152,0,0,0,1,3,2.0,2,0,57,1.0,4.0,4,0,4,0,0.0,1.0,5,9,3.0
152,0,0,0,1,3,2.0,2,0,58,1.0,4.0,5,0,5,1,3.0,1.0,81,117,3.0
153,0,1,0,2,3,0.0,3,0,51,4.0,13.0,1,0,2,0,1.0,1.0,1,3,1.0
153,0,1,0,2,3,0.0,3,0,59,2.0,1.0,1,0,0,0,1.0,1.0,1,3,1.0
153,0,1,0,2,3,0.0,3,0,60,1.0,14.0,4,0,4,0,0.0,1.0,20,96,3.0
153,0,1,0,2,3,0.0,3,0,61,1.0,1.0,4,0,0,1,0.0,0.0,81,19,3.0
153,0,1,0,2,3,0.0,3,0,62,4.0,1.0,9,0,4,0,2.0,1.0,9,1,2.0
153,0,1,0,2,3,0.0,3,0,63,1.0,9.0,2,0,5,0,3.0,1.0,18,124,2.0
153,0,1,0,2,3,0.0,3,0,18,1.0,1.0,2,0,2,0,7.0,1.0,13,23,2.0
153,0,1,0,2,3,0.0,3,0,64,1.0,5.0,5,0,0,1,3.0,1.0,81,64,3.0
153,0,1,0,2,3,0.0,3,0,65,4.0,13.0,0,0,3,0,1.0,1.0,16,10,5.0
153,0,1,0,2,3,0.0,3,0,32,1.0,9.0,0,0,3,1,1.0,1.0,81,73,5.0
153,0,1,0,2,3,0.0,3,0,33,1.0,9.0,6,0,3,1,3.0,1.0,81,5,5.0
153,0,1,0,2,3,0.0,3,0,66,4.0,5.0,8,0,0,0,1.0,0.0,21,21,1.0
153,0,1,0,2,3,0.0,3,0,67,1.0,1.0,8,0,2,1,3.0,1.0,81,16,1.0
154,0,1,0,3,3,0.0,4,0,68,4.0,1.0,1,0,3,0,1.0,1.0,1,3,1.0
154,0,1,0,3,3,0.0,4,0,69,1.0,2.0,1,0,3,0,1.0,1.0,20,112,1.0
154,0,1,0,3,3,0.0,4,0,70,1.0,2.0,1,0,3,1,0.0,1.0,5,29,1.0
154,0,1,0,3,3,0.0,4,0,71,4.0,1.0,8,0,3,0,1.0,1.0,8,59,1.0
154,0,1,0,3,3,0.0,4,0,72,1.0,2.0,8,0,3,1,0.0,1.0,81,16,1.0
154,0,1,0,3,3,0.0,4,0,73,1.0,2.0,4,0,5,1,1.0,1.0,81,125,3.0
154,0,1,0,3,3,0.0,4,0,74,4.0,1.0,9,0,5,0,2.0,1.0,9,47,2.0
154,0,1,0,3,3,0.0,4,0,75,4.0,1.0,2,0,5,0,3.0,1.0,18,22,2.0
154,0,1,0,3,3,0.0,4,0,76,1.0,15.0,5,0,3,1,3.0,1.0,81,65,3.0
154,0,1,0,3,3,0.0,4,0,77,1.0,15.0,5,0,5,1,3.0,1.0,15,15,3.0
154,0,1,0,3,3,0.0,4,0,78,4.0,1.0,0,0,3,0,1.0,1.0,16,126,5.0
154,0,1,0,3,3,0.0,4,0,42,4.0,1.0,0,0,3,0,1.0,1.0,16,10,5.0
154,0,1,0,3,3,0.0,4,0,33,1.0,15.0,6,0,3,1,3.0,1.0,81,5,5.0
154,0,1,0,3,3,0.0,4,0,32,1.0,15.0,0,0,3,1,1.0,1.0,81,73,5.0
154,0,1,0,3,3,0.0,4,0,79,1.0,15.0,11,0,3,1,0.0,1.0,22,26,6.0
154,0,1,0,3,3,0.0,4,0,80,1.0,16.0,10,0,3,1,1.0,1.0,81,8,5.0
155,0,1,2,0,5,0.0,5,0,66,4.0,5.0,8,0,0,0,1.0,0.0,21,21,1.0
155,0,1,2,0,5,0.0,5,0,81,1.0,1.0,8,0,0,1,2.0,1.0,23,78,1.0
155,0,1,2,0,5,0.0,5,0,3,4.0,17.0,3,0,0,0,3.0,1.0,3,90,2.0
155,0,1,2,0,5,0.0,5,0,67,4.0,17.0,8,0,2,1,3.0,1.0,81,16,1.0
155,0,1,2,0,5,0.0,5,0,82,1.0,1.0,8,0,2,1,2.0,1.0,8,29,1.0
155,0,1,2,0,5,0.0,5,0,83,1.0,18.0,7,0,4,1,3.0,1.0,81,63,4.0
155,0,1,2,0,5,0.0,5,0,64,4.0,17.0,5,0,0,1,3.0,1.0,81,64,3.0
155,0,1,2,0,5,0.0,5,0,84,4.0,17.0,5,0,0,1,3.0,1.0,81,65,3.0
155,0,1,2,0,5,0.0,5,0,58,4.0,17.0,5,0,5,1,3.0,1.0,81,117,3.0
155,0,1,2,0,5,0.0,5,0,85,4.0,19.0,4,0,0,0,1.0,1.0,20,3,3.0
155,0,1,2,0,5,0.0,5,0,60,1.0,20.0,4,0,4,0,0.0,1.0,20,96,3.0
155,0,1,2,0,5,0.0,5,0,86,4.0,5.0,4,0,0,1,0.0,0.0,81,14,3.0
155,0,1,2,0,5,0.0,5,0,87,1.0,1.0,12,0,0,1,2.0,1.0,81,103,3.0
155,0,1,2,0,5,0.0,5,0,88,1.0,18.0,7,0,4,1,3.0,2.0,15,68,4.0
155,0,1,2,0,5,0.0,5,0,22,0.0,21.0,0,0,0,0,0.0,0.0,0,152,5.0
155,0,1,2,0,5,0.0,5,0,65,4.0,1.0,0,0,3,0,1.0,1.0,16,10,5.0
155,0,1,2,0,5,0.0,5,0,32,4.0,5.0,0,0,3,1,1.0,1.0,81,73,5.0
155,0,1,2,0,5,0.0,5,0,33,4.0,5.0,6,0,3,1,3.0,1.0,81,5,5.0
155,0,1,2,0,5,0.0,5,0,89,4.0,2.0,10,0,3,1,1.0,1.0,81,8,5.0
155,0,1,2,0,5,0.0,5,0,90,4.0,15.0,10,0,3,1,1.0,1.0,81,102,5.0
155,0,1,2,0,5,0.0,5,0,91,1.0,22.0,7,0,4,1,6.0,1.0,12,75,4.0
155,0,1,2,0,5,0.0,5,0,62,0.0,5.0,9,0,4,0,2.0,1.0,9,1,2.0
155,0,1,2,0,5,0.0,5,0,48,4.0,1.0,9,0,5,0,2.0,1.0,9,12,2.0
155,0,1,2,0,5,0.0,5,0,63,4.0,1.0,2,0,5,0,3.0,1.0,18,124,2.0
155,0,1,2,0,5,0.0,5,0,18,1.0,17.0,2,0,2,0,7.0,1.0,13,23,2.0
155,0,1,2,0,5,0.0,5,0,92,1.0,18.0,7,0,4,0,,1.0,81,127,4.0
155,0,1,2,0,5,0.0,5,0,93,0.0,23.0,1,0,0,0,1.0,0.0,1,3,1.0
155,0,1,2,0,5,0.0,5,0,59,4.0,17.0,1,0,0,0,1.0,1.0,1,3,1.0
155,0,1,2,0,5,0.0,5,0,94,4.0,17.0,1,0,4,0,1.0,0.0,10,118,1.0
155,0,1,2,0,5,0.0,5,0,95,4.0,15.0,1,0,2,1,1.0,1.0,1,29,1.0
155,0,1,2,0,5,0.0,5,0,96,1.0,8.0,7,0,6,1,3.0,0.0,81,45,4.0
156,0,1,1,1,3,0.0,6,1,97,,,6,0,0,0,5.0,0.0,6,2,5.0
156,0,1,1,1,3,0.0,6,1,98,0.0,25.0,2,0,0,0,2.0,1.0,2,4,2.0
156,0,1,1,1,3,0.0,6,1,62,0.0,26.0,9,0,4,0,2.0,1.0,9,1,2.0
156,0,1,1,1,3,0.0,6,1,99,4.0,25.0,5,0,2,1,3.0,1.0,81,6,3.0
156,0,1,1,1,3,0.0,6,1,100,4.0,25.0,5,0,0,1,3.0,1.0,81,65,3.0
156,0,1,1,1,3,0.0,6,1,101,4.0,26.0,12,0,0,1,2.0,1.0,81,103,3.0
156,0,1,1,1,3,0.0,6,1,102,0.0,26.0,3,0,0,1,2.0,1.0,11,88,2.0
156,0,1,1,1,3,0.0,6,1,30,0.0,27.0,1,0,0,0,1.0,0.0,1,3,1.0
156,0,1,1,1,3,0.0,6,1,103,0.0,27.0,1,0,3,0,1.0,1.0,1,3,1.0
156,0,1,1,1,3,0.0,6,1,10,0.0,26.0,8,0,0,0,1.0,1.0,8,52,1.0
156,0,1,1,1,3,0.0,6,1,67,4.0,27.0,8,0,2,1,3.0,1.0,81,16,1.0
156,0,1,1,1,3,0.0,6,1,104,4.0,27.0,8,0,2,1,2.0,1.0,8,29,1.0
156,0,1,1,1,3,0.0,6,1,85,4.0,25.0,4,0,0,0,1.0,1.0,20,3,3.0
156,0,1,1,1,3,0.0,6,1,105,4.0,27.0,4,0,2,1,1.0,1.0,81,129,3.0
156,0,1,1,1,3,0.0,6,1,106,,,0,0,0,0,0.0,0.0,0,152,5.0
156,0,1,1,1,3,0.0,6,1,42,0.0,28.0,0,0,3,0,1.0,1.0,16,10,5.0
156,0,1,1,1,3,0.0,6,1,32,0.0,29.0,0,0,3,1,1.0,1.0,81,73,5.0
156,0,1,1,1,3,0.0,6,1,107,0.0,27.0,6,0,0,0,5.0,0.0,24,2,5.0
156,0,1,1,1,3,0.0,6,1,33,0.0,26.0,6,0,3,1,3.0,1.0,81,5,5.0
156,0,1,1,1,3,0.0,6,1,108,0.0,26.0,10,0,3,1,1.0,1.0,81,8,5.0
157,0,1,1,1,4,0.0,7,0,62,4.0,1.0,9,0,4,0,2.0,1.0,9,1,2.0
157,0,1,1,1,4,0.0,7,0,48,4.0,1.0,9,0,5,0,2.0,1.0,9,12,2.0
157,0,1,1,1,4,0.0,7,0,109,4.0,1.0,2,0,5,0,3.0,1.0,18,22,2.0
157,0,1,1,1,4,0.0,7,0,110,4.0,1.0,2,0,0,0,2.0,1.0,2,4,2.0
157,0,1,1,1,4,0.0,7,0,64,1.0,5.0,5,0,0,1,3.0,1.0,81,64,3.0
157,0,1,1,1,4,0.0,7,0,111,1.0,5.0,5,0,2,1,3.0,1.0,81,6,3.0
157,0,1,1,1,4,0.0,7,0,112,1.0,1.0,5,0,2,1,3.0,1.0,15,15,3.0
158,0,0,0,0,3,0.0,3,0,42,3.0,16.0,0,0,3,0,1.0,1.0,16,10,5.0
158,0,0,0,0,3,0.0,3,0,46,3.0,16.0,6,0,3,1,3.0,1.0,81,5,5.0
158,0,0,0,0,3,0.0,3,0,113,3.0,16.0,2,0,5,0,3.0,1.0,18,117,2.0
158,0,0,0,0,3,0.0,3,0,114,3.0,16.0,1,0,0,0,1.0,0.0,1,3,1.0
158,0,0,0,0,3,0.0,3,0,115,3.0,16.0,8,0,2,0,1.0,1.0,8,7,1.0
158,0,0,0,0,3,0.0,3,0,116,3.0,16.0,3,0,2,1,2.0,1.0,11,88,2.0
158,0,0,0,0,3,0.0,3,0,117,3.0,16.0,4,0,5,1,1.0,1.0,81,131,3.0
158,0,0,0,0,3,0.0,3,0,118,3.0,16.0,5,0,0,1,3.0,1.0,81,64,3.0
158,0,0,0,0,3,0.0,3,0,119,3.0,16.0,11,0,4,1,5.0,1.0,25,113,6.0
158,0,0,0,0,3,0.0,3,0,47,3.0,16.0,10,0,3,1,1.0,1.0,81,8,5.0
158,0,0,0,0,3,0.0,3,0,87,3.0,16.0,12,0,0,1,2.0,1.0,81,103,3.0
158,0,0,0,0,3,0.0,3,0,120,3.0,16.0,7,0,4,1,2.0,1.0,81,45,4.0
158,0,0,0,0,3,0.0,3,0,42,2.0,9.0,0,0,3,0,1.0,1.0,16,10,5.0
158,0,0,0,0,3,0.0,3,0,46,2.0,9.0,6,0,3,1,3.0,1.0,81,5,5.0
158,0,0,0,0,3,0.0,3,0,50,2.0,9.0,2,0,5,0,3.0,1.0,18,22,2.0
158,0,0,0,0,3,0.0,3,0,114,2.0,9.0,1,0,0,0,1.0,0.0,1,3,1.0
158,0,0,0,0,3,0.0,3,0,115,2.0,9.0,8,0,2,0,1.0,1.0,8,7,1.0
158,0,0,0,0,3,0.0,3,0,116,2.0,9.0,3,0,2,1,2.0,1.0,11,88,2.0
158,0,0,0,0,3,0.0,3,0,117,2.0,9.0,4,0,5,1,1.0,1.0,81,131,3.0
158,0,0,0,0,3,0.0,3,0,118,2.0,9.0,5,0,0,1,3.0,1.0,81,64,3.0
158,0,0,0,0,3,0.0,3,0,119,2.0,9.0,11,0,4,1,5.0,1.0,25,113,6.0
158,0,0,0,0,3,0.0,3,0,47,2.0,9.0,10,0,3,1,1.0,1.0,81,8,5.0
158,0,0,0,0,3,0.0,3,0,87,2.0,9.0,12,0,0,1,2.0,1.0,81,103,3.0
158,0,0,0,0,3,0.0,3,0,120,2.0,9.0,7,0,4,1,2.0,1.0,81,45,4.0
158,0,0,0,0,3,0.0,3,0,121,2.0,15.0,1,0,2,0,1.0,1.0,1,7,1.0
158,0,0,0,0,3,0.0,3,0,70,3.0,15.0,1,0,3,1,0.0,1.0,5,29,1.0
158,0,0,0,0,3,0.0,3,0,122,2.0,15.0,2,0,2,0,7.0,1.0,13,23,2.0
158,0,0,0,0,3,0.0,3,0,50,3.0,15.0,2,0,5,0,3.0,1.0,18,22,2.0
158,0,0,0,0,3,0.0,3,0,25,2.0,15.0,8,0,2,0,1.0,1.0,8,7,1.0
158,0,0,0,0,3,0.0,3,0,67,3.0,15.0,8,0,2,1,3.0,1.0,81,16,1.0
158,0,0,0,0,3,0.0,3,0,116,2.0,3.0,3,0,2,1,2.0,1.0,11,88,2.0
158,0,0,0,0,3,0.0,3,0,117,2.0,3.0,4,0,5,1,1.0,1.0,81,131,3.0
158,0,0,0,0,3,0.0,3,0,118,2.0,15.0,5,0,0,1,3.0,1.0,81,64,3.0
158,0,0,0,0,3,0.0,3,0,87,2.0,15.0,12,0,0,1,2.0,1.0,81,103,3.0
158,0,0,0,0,3,0.0,3,0,123,3.0,4.0,0,0,3,0,1.0,1.0,16,152,5.0
158,0,0,0,0,3,0.0,3,0,32,3.0,15.0,0,0,3,1,1.0,1.0,81,73,5.0
158,0,0,0,0,3,0.0,3,0,46,3.0,15.0,6,0,3,1,3.0,1.0,81,5,5.0
158,0,0,0,0,3,0.0,3,0,119,3.0,30.0,11,0,4,1,5.0,1.0,25,113,6.0
158,0,0,0,0,3,0.0,3,0,47,3.0,2.0,10,0,3,1,1.0,1.0,81,8,5.0
158,0,0,0,0,3,0.0,3,0,120,2.0,31.0,7,0,4,1,2.0,1.0,81,45,4.0
159,0,1,1,3,5,0.0,8,0,51,1.0,32.0,1,0,2,0,1.0,1.0,1,3,1.0
159,0,1,1,3,5,0.0,8,0,17,1.0,1.0,1,0,2,0,1.0,1.0,1,3,1.0
159,0,1,1,3,5,0.0,8,0,94,1.0,18.0,1,0,4,0,1.0,0.0,10,118,1.0
159,0,1,1,3,5,0.0,8,0,61,1.0,5.0,4,0,0,1,0.0,0.0,81,19,3.0
159,0,1,1,3,5,0.0,8,0,124,1.0,1.0,4,0,2,1,0.0,0.0,81,129,3.0
159,0,1,1,3,5,0.0,8,0,125,1.0,1.0,4,0,5,1,1.0,1.0,81,19,3.0
159,0,1,1,3,5,0.0,8,0,81,4.0,9.0,8,0,0,1,2.0,1.0,23,78,1.0
159,0,1,1,3,5,0.0,8,0,67,4.0,33.0,8,0,2,1,3.0,1.0,81,16,1.0
159,0,1,1,3,5,0.0,8,0,62,1.0,18.0,9,0,4,0,2.0,1.0,9,1,2.0
159,0,1,1,3,5,0.0,8,0,48,1.0,1.0,9,0,5,0,2.0,1.0,9,12,2.0
159,0,1,1,3,5,0.0,8,0,126,1.0,1.0,9,0,5,0,2.0,1.0,9,12,2.0
159,0,1,1,3,5,0.0,8,0,3,1.0,5.0,3,0,0,0,3.0,1.0,3,90,2.0
159,0,1,1,3,5,0.0,8,0,64,1.0,5.0,5,0,0,1,3.0,1.0,81,64,3.0
159,0,1,1,3,5,0.0,8,0,127,1.0,1.0,5,0,0,1,3.0,1.0,81,65,3.0
159,0,1,1,3,5,0.0,8,0,128,1.0,1.0,5,0,2,1,2.0,1.0,15,6,3.0
159,0,1,1,3,5,0.0,8,0,22,4.0,34.0,0,0,0,0,0.0,0.0,0,152,5.0
159,0,1,1,3,5,0.0,8,0,129,1.0,35.0,0,0,2,0,0.0,1.0,14,109,5.0
159,0,1,1,3,5,0.0,8,0,65,1.0,9.0,0,0,3,0,1.0,1.0,16,10,5.0
159,0,1,1,3,5,0.0,8,0,33,1.0,16.0,6,0,3,1,3.0,1.0,81,5,5.0
159,0,1,1,3,5,0.0,8,0,32,1.0,16.0,0,0,3,1,1.0,1.0,81,73,5.0
159,0,1,1,3,5,0.0,8,0,47,0.0,36.0,10,0,0,1,0.0,1.0,81,8,5.0
159,0,1,1,3,5,0.0,8,0,89,0.0,37.0,10,0,3,1,1.0,1.0,81,8,5.0
159,0,1,1,3,5,0.0,8,0,93,4.0,38.0,1,0,0,0,1.0,0.0,1,3,1.0
157,0,1,1,1,4,0.0,7,0,114,4.0,5.0,1,0,0,0,1.0,0.0,1,3,1.0
157,0,1,1,1,4,0.0,7,0,130,1.0,1.0,1,0,2,1,0.0,1.0,1,29,1.0
157,0,1,1,1,4,0.0,7,0,131,1.0,1.0,1,0,5,1,1.0,1.0,1,130,1.0
157,0,1,1,1,4,0.0,7,0,85,1.0,1.0,4,0,0,0,1.0,1.0,20,3,3.0
157,0,1,1,1,4,0.0,7,0,132,1.0,1.0,4,0,5,1,1.0,1.0,26,121,3.0
157,0,1,1,1,4,0.0,7,0,133,1.0,1.0,4,0,5,1,1.0,1.0,81,48,3.0
157,0,1,1,1,4,0.0,7,0,22,4.0,39.0,0,0,0,0,0.0,0.0,0,152,5.0
157,0,1,1,1,4,0.0,7,0,42,4.0,1.0,0,0,3,0,1.0,1.0,16,10,5.0
157,0,1,1,1,4,0.0,7,0,134,1.0,9.0,0,0,3,1,1.0,1.0,81,73,5.0
157,0,1,1,1,4,0.0,7,0,107,4.0,1.0,6,0,0,0,5.0,0.0,24,2,5.0
157,0,1,1,1,4,0.0,7,0,6,1.0,9.0,6,0,3,1,3.0,1.0,81,5,5.0
157,0,1,1,1,4,0.0,7,0,135,4.0,9.0,10,0,0,1,0.0,1.0,81,8,5.0
157,0,1,1,1,4,0.0,7,0,108,4.0,17.0,10,0,3,1,1.0,1.0,81,8,5.0
157,0,1,1,1,4,0.0,7,0,66,4.0,1.0,8,0,0,0,1.0,0.0,21,21,1.0
157,0,1,1,1,4,0.0,7,0,136,1.0,1.0,8,0,2,1,3.0,1.0,81,16,1.0
157,0,1,1,1,4,0.0,7,0,137,1.0,1.0,8,0,5,1,2.0,1.0,19,132,1.0
159,0,1,1,3,5,0.0,8,0,95,1.0,1.0,1,0,2,1,1.0,1.0,1,29,1.0
